Age;Monthly Salary;Have you ever been refused a U.S. Visa?;Is your mother in the U.S.?;Do you have any immediate relatives, not including parents in the U.S.?;Do you have any other relatives in the United States?;MARRIED;COMMON LAW MARRIAGE;SINGLE;WIDOWED;Ha_Viajado_Binario;y
-0.27;-1.05;1;0;0;1;1;1;1;1;1;0
-1.15;0.66;1;1;0;1;0;1;0;0;1;0
0.14;0.82;0;1;0;0;1;1;1;1;0;0
-0.33;0.69;0;0;0;0;0;1;0;1;0;0
0.96;-1.06;1;0;0;0;0;1;1;1;0;0
-0.06;0.85;0;1;0;1;1;0;0;0;0;0
-0.81;-1.5;0;1;0;0;0;1;1;0;1;0
1.16;0.32;1;1;1;1;1;1;1;1;0;0
1.57;-0.31;1;1;0;0;1;1;1;0;0;0
-1.69;1.29;1;0;0;0;1;0;0;1;0;0
-0.27;-1.32;1;1;1;1;1;0;0;1;1;0
0.21;-0.46;1;1;0;1;1;0;1;1;1;0
0.35;-1.3;1;0;1;1;1;1;1;1;1;0
-1.63;0.35;0;1;0;0;1;0;0;1;1;0
1.57;1.48;1;0;1;0;0;1;0;1;1;0
-0.61;-0.85;0;1;1;0;1;0;0;0;1;0
-0.06;0.3;1;0;0;0;1;1;0;0;1;0
0.82;-0.68;1;1;0;0;0;1;0;0;0;0
0.35;-1.5;1;1;0;1;1;0;1;0;1;0
-0.47;0.74;1;1;1;0;0;1;1;0;1;0
-0.54;-0.53;0;1;0;1;1;1;1;0;1;0
-1.08;-0.14;1;1;1;1;1;0;1;0;0;0
0.89;0.05;0;1;1;1;0;1;0;0;0;0
-0.74;1.62;1;1;1;1;0;1;0;1;0;0
0.89;-0.86;1;1;0;0;0;1;1;0;0;0
-0.33;0.47;1;0;1;1;0;0;0;0;1;0
-0.2;-1.17;0;1;0;0;1;1;1;1;1;0
-0.54;-0.93;1;0;1;0;0;0;0;0;0;1
0.35;-0.83;1;1;0;0;0;1;1;0;0;0
-0.61;1.21;0;0;0;0;0;1;1;0;0;0
-1.01;1.46;1;1;0;1;0;0;1;0;1;0
-1.29;0.29;1;1;1;1;1;1;1;0;1;0
1.64;1.17;0;1;1;1;0;1;1;0;1;0
1.36;-0.08;1;1;0;0;1;1;0;1;1;0
-1.35;-0.12;0;1;0;1;0;1;1;0;0;0
-1.63;1.43;1;1;0;0;0;0;1;1;1;0
-1.56;1.23;0;0;0;0;0;0;0;0;0;0
0.48;1.24;0;1;0;1;0;1;1;1;1;0
-1.35;1.39;0;1;1;0;0;0;1;1;0;0
0.01;-1.03;0;0;0;0;0;1;0;1;1;0
0.55;-1.33;1;1;1;0;0;0;0;0;0;1
-1.29;0.48;1;1;0;0;0;0;1;1;1;0
0.14;-0.31;0;1;1;0;1;0;0;1;0;0
1.03;1.36;0;1;1;1;1;0;1;1;1;0
-1.56;-1.41;0;1;0;0;1;1;0;1;0;0
-0.74;-0.56;1;1;0;0;1;1;0;0;1;0
1.64;-1.27;1;0;1;1;0;1;1;0;1;0
1.57;-0.09;0;0;0;0;0;1;1;0;1;0
0.96;0.2;1;1;1;0;1;0;0;1;1;0
0.41;0.68;0;1;1;1;1;0;1;0;1;0
-1.22;-0.76;1;1;1;0;0;1;1;0;0;0
1.16;1.36;0;1;0;1;0;0;1;0;1;0
-1.63;0.7;1;1;0;1;0;1;0;0;0;0
1.36;-0.3;0;0;0;1;1;0;0;0;1;0
0.14;-1.58;0;1;1;0;1;0;0;1;1;0
-0.4;1.42;1;1;0;1;1;1;1;0;1;0
1.36;-0.49;0;0;0;1;1;1;1;0;1;0
-1.42;-0.53;1;1;0;1;0;1;0;1;0;0
-0.74;-0.15;1;0;0;1;1;1;1;1;0;0
1.03;1.68;0;1;0;1;1;0;1;0;1;0
-1.49;1.09;1;0;1;0;1;1;0;0;1;0
0.69;1.62;1;0;0;1;0;0;0;0;1;0
0.14;-1.54;1;1;0;0;1;0;0;1;0;0
0.48;0.43;1;0;1;0;0;0;1;1;1;0
-1.56;-1.3;1;0;0;1;0;1;1;0;1;0
-1.22;-0.86;0;0;1;0;0;1;1;0;0;0
0.96;1.14;1;0;0;0;0;0;1;0;1;0
-0.27;-0.8;1;1;0;0;1;1;1;1;0;0
-0.74;0.85;1;1;1;0;0;1;0;0;1;0
1.3;-1.43;0;0;1;0;1;0;1;1;0;0
-0.2;0.66;1;1;0;1;0;1;0;1;1;0
1.64;1.57;0;1;1;0;0;0;1;0;0;1
-1.49;1.16;1;1;0;1;0;0;0;0;1;0
-1.63;-0.96;1;1;1;0;1;1;1;1;0;0
-1.49;-0.31;1;1;1;0;0;0;1;1;1;0
-0.33;1.25;1;1;0;0;0;1;1;1;0;0
0.01;-1.22;1;0;1;1;1;1;0;1;1;0
-0.27;-1.56;1;0;0;0;0;1;1;1;1;0
1.5;-0.13;0;0;0;1;1;1;1;0;0;0
-0.81;1.26;1;0;0;1;0;1;0;0;0;0
0.82;0.29;0;1;1;1;1;1;0;1;1;0
0.69;-1.32;1;1;0;0;1;0;1;1;1;0
-1.08;1.25;1;0;1;0;1;1;0;0;1;0
1.3;0.72;1;0;1;0;0;1;0;0;1;0
-0.74;-1.25;1;1;0;1;0;0;0;0;0;0
-1.56;0.63;1;0;0;1;0;1;0;0;1;0
-1.63;0.8;0;0;1;0;0;0;0;1;0;0
-0.61;1.11;1;1;0;0;1;1;0;0;1;0
1.64;-0.79;0;1;0;0;0;1;0;1;0;0
-0.47;-1.7;0;1;0;0;0;0;0;1;0;0
1.03;0.78;1;1;1;1;1;1;0;0;0;0
0.21;0.56;1;1;0;0;1;0;1;0;0;0
-1.08;-0.78;0;0;0;0;0;1;0;0;0;0
0.07;-0.53;0;1;1;1;0;1;0;1;1;0
-0.54;-1.66;1;0;0;0;1;1;0;1;1;0
1.16;-0.41;0;1;0;0;1;1;1;0;0;0
1.23;0.01;0;0;0;1;0;1;1;0;1;0
0.69;-0.73;1;0;1;0;1;0;0;0;1;0
-0.33;0.58;0;1;0;1;0;1;0;1;0;0
-1.69;-1.34;1;1;0;1;1;0;1;0;1;0
-0.54;-1.28;0;0;0;1;1;1;1;1;0;0
-1.08;0.16;1;0;0;0;1;0;1;1;0;0
